,Entrez Gene Interactor A,Entrez Gene Interactor B,Official Symbol Interactor A,Official Symbol Interactor B
0,2,7052,A2M,TGM2
0,2,3586,A2M,IL10
0,2,60,A2M,ACTB
0,2,6009,A2M,RHEB
0,2,2,A2M,A2M
0,2,351,A2M,APP
0,2,10376,A2M,TUBA1B
0,2,11140,A2M,CDC37
0,60,1915,ACTB,EEF1A1
0,60,8607,ACTB,RUVBL1
0,60,5430,ACTB,POLR2A
0,60,5879,ACTB,RAC1
0,60,71,ACTB,ACTG1
0,60,10576,ACTB,CCT2
0,60,790,ACTB,CAD
0,60,10856,ACTB,RUVBL2
0,60,60,ACTB,ACTB
0,60,4736,ACTB,RPL10A
0,60,2064,ACTB,ERBB2
0,60,857,ACTB,CAV1
0,60,3192,ACTB,HNRNPU
0,70,7168,ACTC1,TPM1
0,71,10856,ACTG1,RUVBL2
0,71,1915,ACTG1,EEF1A1
0,71,6456,ACTG1,SH3GL2
0,71,790,ACTG1,CAD
0,71,60,ACTG1,ACTB
0,71,1488,ACTG1,CTBP2
0,71,8607,ACTG1,RUVBL1
0,71,71,ACTG1,ACTG1
0,158,5756,ADSL,TWF1
0,158,5093,ADSL,PCBP1
0,158,3312,ADSL,HSPA8
0,158,6210,ADSL,RPS15A
0,158,3309,ADSL,HSPA5
0,159,10971,ADSS,YWHAQ
0,159,2618,ADSS,GART
0,159,1915,ADSS,EEF1A1
0,159,6188,ADSS,RPS3
0,159,6210,ADSS,RPS15A
0,159,10694,ADSS,CCT8
0,159,3329,ADSS,HSPD1
0,159,8833,ADSS,GMPS
0,159,11140,ADSS,CDC37
0,159,3303,ADSS,HSPA1A
0,159,9775,ADSS,EIF4A3
0,159,2923,ADSS,PDIA3
0,159,10294,ADSS,DNAJA2
0,159,3315,ADSS,HSPB1
0,159,6202,ADSS,RPS8
0,159,6205,ADSS,RPS11
0,159,5111,ADSS,PCNA
0,159,9967,ADSS,THRAP3
0,159,3105,ADSS,HLA-A
