,Uniprot AC ID Interactor A,Uniprot AC ID Interactor B,Official Symbol Interactor A,Official Symbol Interactor B
0,P01137,Q9BWV1,TGFB1,BOC
0,P01137,Q14112,TGFB1,NID2
0,P01137,Q9H6U6,TGFB1,BCAS3
0,P01137,P16989,TGFB1,YBX3
0,P01137,Q13253,TGFB1,NOG
0,P01137,Q9UKQ9,TGFB1,KLK9
0,P01137,Q8TDB6,TGFB1,DTX3L
0,P01137,P07996,TGFB1,THBS1
0,P01137,Q8IWV7,TGFB1,UBR1
0,P01137,Q9HCM4,TGFB1,EPB41L5
0,P01137,P20160,TGFB1,AZU1
0,P01137,P05111,TGFB1,INHA
0,P01137,P19525,TGFB1,EIF2AK2
0,P01137,Q6UWB1,TGFB1,IL27RA
0,P01137,P09382,TGFB1,LGALS1
0,P01137,Q92667,TGFB1,AKAP1
0,P01137,P16109,TGFB1,SELP
0,P01137,Q15811,TGFB1,ITSN1
0,P01137,P80511,TGFB1,S100A12
0,P01137,P06734,TGFB1,FCER2
0,P01137,P55884,TGFB1,EIF3B
0,P01137,Q7Z4P5,TGFB1,GDF7
0,P01137,Q53EP0,TGFB1,FNDC3B
0,P01137,P55899,TGFB1,FCGRT
0,P01137,P08575,TGFB1,PTPRC
0,P01137,P36894,TGFB1,BMPR1A
0,P01137,Q96JY6,TGFB1,PDLIM2
0,P01137,Q13191,TGFB1,CBLB
0,P01137,Q15911,TGFB1,ZFHX3
0,P01137,P35568,TGFB1,IRS1
0,P01137,P16471,TGFB1,PRLR
0,P01137,P01229,TGFB1,LHB
0,P01137,Q969H0,TGFB1,FBXW7
0,P01137,Q71UM5,TGFB1,RPS27L
0,P01137,P54760,TGFB1,EPHB4
0,P01137,P36897,TGFB1,TGFBR1
0,P01137,P43235,TGFB1,CTSK
0,P01137,Q99607,TGFB1,ELF4
0,P01137,P25101,TGFB1,EDNRA
0,P01137,Q92752,TGFB1,TNR
0,P01137,Q9H293,TGFB1,IL25
0,P01137,P37023,TGFB1,ACVRL1
0,P01137,Q9NR61,TGFB1,DLL4
0,P01137,Q14865,TGFB1,ARID5B
0,P01137,P61769,TGFB1,B2M
0,P01137,Q92954,TGFB1,PRG4
0,P01137,P29034,TGFB1,S100A2
0,P01137,Q8IZY5,TGFB1,BLID
0,P01137,P26927,TGFB1,MST1
0,P01137,Q92949,TGFB1,FOXJ1
0,P01137,Q92838,TGFB1,EDA
0,P01137,P98160,TGFB1,HSPG2
0,P01137,Q9Y337,TGFB1,KLK5
0,P01137,P55107,TGFB1,GDF10
0,P01137,Q53EV4,TGFB1,LRRC23
0,P01137,P09619,TGFB1,PDGFRB
0,P01137,P41970,TGFB1,ELK3
0,P01137,Q9Y5Y6,TGFB1,ST14
0,P01137,P07900,TGFB1,HSP90AA1
0,P01137,P29279,TGFB1,CTGF
